executions,shape,example
4,"WITH cte AS (SELECT ref.referralid, CASE WHEN ref.activatedon IS NULL THEN NULL ELSE ref.referralid END AS activation, ref.providerid, ref.orderid, CONCAT(ref.providerid, ?, ref.orderid) AS providerorderid, CASE WHEN ref.billingtypeid = ? THEN ? WHEN hcc.accountid = ? AND log.deliverystatustypeid IN (?) AND hcc.createdon >= ? AND hcc.ishottransfer = ? THEN ? WHEN hcc.accountid = ? AND hcc.amount < ? AND hcc.createdon >= ? AND hcc.ishottransfer = ? THEN hcc.amount WHEN hcc.accountid = ? AND hcc.amount > ? AND hcc.createdon >= ? AND hcc.ishottransfer = ? THEN hcc.amount WHEN hcc.accountid = ? AN ...","select `ProviderOrderID`, `Referrals`, `Activations`, `Rev` from ( WITH CTE AS( Select ref.referralid ,case when ref.activatedon is null then null else ref.referralid end Activation ,ref.providerID ,ref.orderid ,concat(ref.providerid, ""-"", ref.orderid) ProviderOrderID , CASE WHEN ref.BillingTypeID = ..."
4,"WITH cte AS (SELECT DISTINCT date, DATE_FORMAT(cph.date, ?) AS monthyear, monthlysent, monthlycap FROM main.prod_homecare_acreporting_reporting.cartproviderhistory AS cph WHERE cph.orderid = ? AND date >= ? AND (date = LAST_DAY(date) OR date = CAST(CURRENT_TIMESTAMP() AS DATE))), cte1 AS (SELECT DISTINCT cph.date, DATE_FORMAT(cph.date, ?) AS monthyear, CASE WHEN cte.date = LAST_DAY(cte.date) THEN cte.monthlysent ELSE cte.monthlycap END AS hicap FROM cte LEFT JOIN main.prod_homecare_acreporting_reporting.cartproviderhistory AS cph ON YEAR(cte.date) = YEAR(cph.date) AND IF(DAY(cte.date) >= ?, (D ...","select `Date`, `DMA`, cast({ fn round(cast(`MonthYear` as DOUBLE), 0) } as BIGINT) as `C1`, `Org`, `Adjust_MonthlyCap`, `Orders` from ( WITH CTE3 AS ( WITH CTE2 AS( WITH CTE1 AS( WITH CTE AS ( Select Distinct date ,date_format( cph.date, 'MMyyyy') MonthYear ,monthlysent ,monthlycap FROM main.prod_ho ..."
4,"WITH cte AS (SELECT p.accountid, p.amount, MAX(DATE_FORMAT(CASE WHEN NOT p.forstatementid IS NULL THEN DATE_ADD(MONTH, -?, DATE_TRUNC('MONTH', p.createdon)) ELSE p.createdon END, ?)) AS paymentdate, MAX(p.createdon) AS createdon FROM prod_homecare_actransactional_billing.payment AS p WHERE p.paymentstatustypeid IN (?) GROUP BY ?, ?), ctea AS (SELECT accountid, p.amount, DATE_FORMAT(CASE WHEN NOT p.forstatementid IS NULL THEN DATE_ADD(MONTH, -?, DATE_TRUNC('MONTH', p.createdon)) ELSE p.createdon END, ?) AS paymentdate, p.createdon AS createdon, p.paymentstatustypeid, ROW_NUMBER() OVER (PARTITIO ...","select `accountid`, `amount`, `PaymentDate` from ( WITH CTE AS( Select p.accountid ,p.amount ,max(date_format(case when p.forstatementid is not null then dateadd(Month, -1, date_trunc('Month', p.createdon)) else p.createdon end, 'yyyyMM')) PaymentDate ,max(p.createdon) createdon FROM prod_homecare_a ..."
4,"SELECT id, owner_id, name, CAST(created_date AS DATE) AS createddate, hmc_balance_c, hmc_provider_account_c, hmc_payment_method_c FROM main.community_salesforce.billing_c","select `id`, `owner_id`, `Name`, `CreatedDate`, `hmc_balance_c`, `hmc_provider_account_c`, `hmc_payment_method_c` from ( Select id ,owner_id ,Name ,date(created_date) CreatedDate ,hmc_balance_c ,hmc_provider_account_c ,hmc_payment_method_c FROM main.community_salesforce.billing_c ) as `_`"
4,"WITH cte AS (SELECT p.accountid, p.amount, MAX(DATE_FORMAT(CASE WHEN NOT p.forstatementid IS NULL THEN DATE_ADD(MONTH, -?, DATE_TRUNC('MONTH', p.createdon)) ELSE p.createdon END, ?)) AS paymentdate, MAX(p.createdon) AS createdon FROM prod_homecare_actransactional_billing.payment AS p WHERE p.paymentstatustypeid IN (?) GROUP BY ?, ?), ctea AS (SELECT DISTINCT accountid, p.amount, DATE_FORMAT(CASE WHEN NOT p.forstatementid IS NULL THEN DATE_ADD(MONTH, -?, DATE_TRUNC('MONTH', p.createdon)) ELSE p.createdon END, ?) AS paymentdate, p.createdon AS createdon, p.paymentstatustypeid, ROW_NUMBER() OVER  ...","select * from ( WITH CTE AS( Select p.accountid ,p.amount ,max(date_format(case when p.forstatementid is not null then dateadd(Month, -1, date_trunc('Month', p.createdon)) else p.createdon end, 'yyyyMM')) PaymentDate ,max(p.createdon) createdon FROM prod_homecare_actransactional_billing.payment p wh ..."
4,"WITH cte AS (SELECT cph.providerid, cph.orderid, MIN(cph.date) AS firstactive, MAX(cph.date) AS lastactive FROM main.prod_homecare_acreporting_reporting.cartproviderhistory AS cph JOIN main.prod_homecare_actransactional_organization.provider AS p ON p.providerid = cph.providerid WHERE (cph.orderstatusreason = ? OR cph.orderstatus IN (?)) AND cph.contracttype = ? AND p.providerorganizationid IS NULL GROUP BY ?, ?), cte1 AS (SELECT cte.providerid, cte.orderid, cte.firstactive, cte.lastactive, DATEDIFF(DAY, cte.firstactive, cte.lastactive) AS daysactive, ost.name AS orderstatus, CASE WHEN o.prepa ...","select `ProviderID`, `OrderID`, `FirstActive`, `LastActive`, `DaysActive`, `OrderStatus`, `OrderReason`, `OrderType`, `Referrals90`, `LifetimeReferrals`, `FreeLeads`, `ProviderOrderID`, `lastfreelead`, `FirstActivation`, `HasActivation`, `datediff(lastfreelead, firstactive)`, `ProvOrderAge`, `Status ..."
4,"SELECT id, owner_id, name, CAST(created_date AS DATE) AS createddate, hmc_balance_c, hmc_provider_account_c FROM main.community_salesforce.billing_c","select * from ( Select id ,owner_id ,Name ,date(created_date) CreatedDate ,hmc_balance_c ,hmc_provider_account_c FROM main.community_salesforce.billing_c ) as `_` limit 0"
4,"WITH cte AS (SELECT r.region_id AS regionid, r.region_name AS regionname, zr.zip5 FROM main.prod_ygl_apfm.zip_region AS zr JOIN main.prod_ygl_apfm.region AS r ON r.region_id = zr.region_id JOIN main.prod_ygl_apfm.region_use AS ru ON ru.region_id = zr.region_id AND ru.region_type_code = zr.region_type_code WHERE ru.region_type_code = ? AND r.region_name = ? AND r.active = ? AND zr._fivetran_deleted = FALSE AND r._fivetran_deleted = FALSE AND ru._fivetran_deleted = FALSE ORDER BY r.region_id, zr.zip5), cted AS (SELECT dateid, date, dayofyear, dayofmonth, dayofweek, weekdayname, month, monthname, ...","select `RequestCreatedate`, `hmcrequestid`, `Referredby`, `affiliateid`, `leadsource`, `referralid`, `requeststatusid`, `ReturnStatus`, `ProviderOrders`, `ReferralDate`, `TimeFrame`, `AdjChannel`, `DaystoActivation`, `Activation`, `ActivationDate`, `htrreferral`, `PilotGroup`, `DayofWeekNumberMonth` ..."
4,"SELECT DISTINCT dma, CASE WHEN dma IN (?) THEN ? ELSE ? END AS gracedma FROM main.reporting.dim_geography_zip_dma WHERE dma <> ?","select `DMA`, `GraceDMA` from ( Select DISTINCT DMA ,CASE WHEN dma in ('Atlanta','Houston','Boston') then ""Grace DMA"" else 'Non Grace DMA' end GraceDMA FROM main.reporting.dim_geography_zip_dma where dma <> 'NA' ) as `_` limit 1000"
4,"SELECT DISTINCT psc.providerid, countryid FROM main.prod_homecare_actransactional_organization.providerservicecoverage AS psc LEFT JOIN main.prod_homecare_actransactional_geo.postalcode_01072025 AS pc ON pc.code = psc.postalcode WHERE psc.deleted = ?","select * from ( Select distinct psc.providerid ,countryid FROM main.prod_homecare_actransactional_organization.providerservicecoverage psc LEFT JOIN main.prod_homecare_actransactional_geo.postalcode_01072025 pc on pc.code = psc.postalcode WHERE psc.deleted = 0 ) as `_` limit 0"
4,"SELECT p.name AS providername, p.providerid, o.name AS ordername, o.orderid, CONCAT(p.providerid, ?, o.orderid) AS providerorder, DATEDIFF(DAY, o.createdon, CURRENT_TIMESTAMP()) AS daysactive, ost.name AS currentorderstatus, osrt.name AS currentorderreason FROM main.prod_homecare_actransactional_organization.provider AS p JOIN main.prod_homecare_actransactional_ordermanagement.orderprovider AS op ON op.providerid = p.providerid JOIN main.prod_homecare_actransactional_ordermanagement.order AS o ON o.orderid = op.orderid LEFT JOIN main.prod_homecare_actransactional_ordermanagement.orderstatustyp ...","select * from ( Select p.name ProviderName ,p.providerid ,o.name OrderName ,o.orderid ,concat(p.providerid, ""-"", o.orderid) ProviderOrder ,datediff(getdate(), o.createdon) DaysActive ,ost.name CurrentOrderStatus ,osrt.name CurrentOrderReason FROM main.prod_homecare_actransactional_organization.provi ..."
4,"WITH cte AS (SELECT DISTINCT COUNT(DISTINCT referralid) AS referrals, DATE_FORMAT(referredon, ?) AS monthyearid, CASE WHEN p.providerorganizationid IS NULL THEN ? ELSE ? END AS org, dma.dma, TRIM(hmcr.postalcode) AS postalcode FROM prod_homecare_actransactional_homecare.referral AS ref LEFT JOIN main.prod_homecare_actransactional_organization.provider AS p ON p.providerid = ref.providerid LEFT JOIN main.prod_homecare_insite_directory.hmclead AS hmcl ON hmcl.hmcleadid = ref.hmcleadid LEFT JOIN main.prod_homecare_insite_directory.hmcrequest AS hmcr ON hmcr.hmcrequestid = hmcl.hmcleadid LEFT JOIN ...","select `Referrals`, `MonthYearID`, `Org`, `DMA`, `first3dayreferrals`, `last3dayreferrals`, `postalcode` from ( WITH CTE AS( Select DISTINCT count(distinct referralid) Referrals -- ,date(Referredon) ReferredOn ,date_format(Referredon, 'yyyyMM') MonthYearID ,CASE WHEN p.providerorganizationid is null ..."
4,"WITH cte AS (SELECT hmcr.hmcrequestid, hmcr.affiliateid, a.affiliatename, url, CASE WHEN hmcr.customflow = ? THEN ? ELSE ? END AS flow, src.hmcprospectid AS srcprospect, CASE WHEN NOT src.hmcprospectid IS NULL THEN ? WHEN hmcr.affiliateid = ? THEN ? WHEN hmcr.affiliateid IN (?) THEN ? WHEN hmcr.affiliateid = ? THEN ? WHEN hmcr.affiliateid = ? THEN ? WHEN hmcr.affiliateid IN (?) THEN ? WHEN hmcr.affiliateid IN (?) THEN ? WHEN hmcr.url LIKE ? OR hmcr.url LIKE ? OR hmcr.url LIKE ? THEN ? WHEN hmcr.url LIKE ? OR hmcr.affiliateid = ? THEN ? WHEN hmcr.affiliateid IN (?) OR hmcr.url LIKE ? OR hmcr.ur ...","select * from ( WITH CTE2 AS ( WITH CTE1 AS ( with CTE AS ( select hmcr.hmcrequestid ,hmcr.affiliateid ,a.affiliatename ,url ,CASE WHEN hmcr.customflow =1 then 'NFE' ELSE 'OFE' END as Flow ,src.HMCProspectID AS SRCProspect ,CASE WHEN src.HMCProspectID IS NOT NULL THEN 'APFM DQ' WHEN hmcr.affiliateid ..."
4,"WITH cte AS (SELECT o.id AS opportunityid, o.close_date, a.hmc_cart_provider_id_c AS providerid FROM main.community_salesforce.opportunity AS o JOIN main.community_salesforce.account AS a ON a.id = o.account_id WHERE o.is_won = TRUE AND o.close_date >= ?), cte1 AS (SELECT cte.providerid, p.name AS providername, cph.orderid, cte.close_date, MIN(date) AS firstactivedate, MAX(date) AS lastactivedate FROM cte JOIN main.prod_homecare_acreporting_reporting.cartproviderhistory AS cph ON cph.providerid = cte.providerid LEFT JOIN main.prod_homecare_actransactional_organization.provider AS p ON p.provid ...","select `ProviderID`, `ProviderName`, `OrderID`, `ProviderOrderID`, `OrderStatus`, `OrderStatusReason`, `Close_Date`, `FirstActiveDate`, `LastActiveDate`, `DaysActive`, `Status`, `FirstActivation`, `HasActivation` from ( WITH CTE2 AS( WITH CTE1 AS( WITH CTE AS( Select o.id OpportunityID ,o.close_date ..."
4,"SELECT id, opportunity_id, field, old_value, new_value, CAST(created_date AS DATE) AS createddate FROM main.community_salesforce.opportunity_field_history WHERE created_date >= ?","select * from ( Select Id ,Opportunity_Id ,Field ,Old_Value ,New_Value ,date(created_date) CreatedDate FROM main.community_salesforce.opportunity_field_history WHERE created_date >= '2024-10-15' ) as `_` limit 0"
4,"SELECT DISTINCT ref.referralid, ref.providerid, ref.referredon, ref.orderid, op.createdon, p.name AS providername, CASE WHEN ref.returnapproved = TRUE THEN ? ELSE ? END AS returnapproved, CASE WHEN ref.billingtypeid = ? THEN ? WHEN hcc.accountid = ? AND log.deliverystatustypeid IN (?) AND hcc.createdon >= ? AND hcc.ishottransfer = ? THEN ? WHEN hcc.accountid = ? AND hcc.amount < ? AND hcc.createdon >= ? AND hcc.ishottransfer = ? THEN hcc.amount WHEN hcc.accountid = ? AND hcc.amount > ? AND hcc.createdon >= ? AND hcc.ishottransfer = ? THEN hcc.amount WHEN hcc.accountid = ? AND log.deliverystatu ...","select `referralid`, `providerid`, cast(`referredon` as DATE) as `C1`, `orderid`, cast(`createdon` as DATE) as `C2`, `ProviderName`, `ReturnApproved`, `ReferralRevenue` from ( Select distinct ref.referralid ,ref.providerid ,ref.referredon ,ref.orderid ,op.createdon ,p.name ProviderName ,case when re ..."
4,"SELECT DISTINCT hmcr.hmcrequestid, ref.referralid, rpt.name AS primary, rsr.name AS secondary FROM main.prod_homecare_insite_directory.hmcrequest AS hmcr JOIN main.prod_homecare_insite_directory.hmclead AS hmcl ON hmcl.hmcrequestid = hmcr.hmcrequestid JOIN main.prod_homecare_actransactional_homecare.referral AS ref ON ref.hmcleadid = hmcl.hmcleadid JOIN main.prod_homecare_actransactional_homecare.referralreturnrequest AS rrr ON rrr.referralid = ref.referralid JOIN main.prod_homecare_actransactional_homecare.referralreturnprimaryreasontype AS rpt ON rpt.referralreturnprimaryreasontypeid = rrr.p ...","select `hmcrequestid`, `referralid`, `Primary`, `Secondary` from ( Select distinct hmcr.hmcrequestid ,ref.referralid ,rpt.name Primary ,rsr.name Secondary ---,rrrt.name FROM main.prod_homecare_insite_directory.hmcrequest hmcr JOIN main.prod_homecare_insite_directory.hmclead hmcl on hmcl.hmcrequestid ..."
4,"WITH cte AS (SELECT DISTINCT COUNT(DISTINCT referralid) AS referrals, DATE_FORMAT(referredon, ?) AS monthyearid, CASE WHEN p.providerorganizationid IS NULL THEN ? ELSE ? END AS org, dma.dma, TRIM(hmcr.postalcode) AS postalcode FROM prod_homecare_actransactional_homecare.referral AS ref LEFT JOIN main.prod_homecare_actransactional_organization.provider AS p ON p.providerid = ref.providerid LEFT JOIN main.prod_homecare_insite_directory.hmclead AS hmcl ON hmcl.hmcleadid = ref.hmcleadid LEFT JOIN main.prod_homecare_insite_directory.hmcrequest AS hmcr ON hmcr.hmcrequestid = hmcl.hmcrequestid LEFT J ...","select `Referrals`, `MonthYearID`, `Org`, `DMA`, `first3dayreferrals`, `last3dayreferrals`, `postalcode` from ( WITH CTE AS( Select DISTINCT count(distinct referralid) Referrals -- ,date(Referredon) ReferredOn ,date_format(Referredon, 'yyyyMM') MonthYearID ,CASE WHEN p.providerorganizationid is null ..."
4,"SELECT p.accountid, p.amount, p.createdon, DATE_FORMAT(p.createdon, ?) AS paymentmonthyearid, oct.name AS otherchargetype FROM main.prod_homecare_actransactional_billing.othercharge AS p LEFT JOIN main.prod_homecare_actransactional_billing.otherchargetype AS oct ON oct.otherchargetypeid = p.otherchargetypeid WHERE p.otherchargetypeid IN (?)","select `AccountID`, `amount`, `createdon`, `PaymentMonthYearId`, `OtherChargeType` from ( Select p.AccountID ,p.amount ,p.createdon ,date_format(p.createdon, 'yyyyMM') PaymentMonthYearId ,oct.name OtherChargeType FROM main.prod_homecare_actransactional_billing.othercharge p LEFT JOIN main.prod_homec ..."
4,"WITH cte AS (SELECT DISTINCT date, DATE_FORMAT(cph.date, ?) AS monthyear, monthlysent, monthlycap FROM main.prod_homecare_acreporting_reporting.cartproviderhistory AS cph WHERE cph.orderid = ? AND date >= ? AND (date = LAST_DAY(date) OR date = CAST(CURRENT_TIMESTAMP() AS DATE))), cte1 AS (SELECT DISTINCT cph.date, DATE_FORMAT(cph.date, ?) AS monthyear, CASE WHEN cte.date = LAST_DAY(cte.date) THEN cte.monthlysent ELSE cte.monthlycap END AS hicap FROM cte LEFT JOIN main.prod_homecare_acreporting_reporting.cartproviderhistory AS cph ON cte.monthyear = DATE_FORMAT(cph.date, ?) AND DAY(cph.date) =  ...","select `date`, `orderid`, `monthlycap`, `Cap`, `Org`, `monthlysent` from ( WITH CTE1 AS( WITH CTE AS ( Select Distinct date ,date_format( cph.date, 'MMyyyy') MonthYear ,monthlysent ,monthlycap FROM main.prod_homecare_acreporting_reporting.cartproviderhistory cph WHERE cph.orderid = 2774 and date >=  ..."
4,"SELECT p.providerid, o.orderid, CASE WHEN ost.name = ? THEN ? ELSE ost.name END AS orderstatus, orst.name AS orderstatusreason, po.name AS organization, p.providerorganizationid, p.name AS providername FROM main.prod_homecare_actransactional_organization.provider AS p JOIN main.prod_homecare_actransactional_ordermanagement.orderprovider AS op ON op.providerid = p.providerid JOIN main.prod_homecare_actransactional_ordermanagement.order AS o ON o.orderid = op.orderid JOIN main.prod_homecare_actransactional_ordermanagement.orderstatustype AS ost ON ost.orderstatustypeid = o.orderstatustypeid JOIN ...","select `providerid`, `orderid`, `OrderStatus`, `OrderStatusReason`, `Organization`, `providerorganizationid`, `ProviderName` from ( Select p.providerid ,o.orderid ,case when ost.name = ""Suspended"" then ""Monthly Cap Reached"" else ost.name end OrderStatus ,orst.name OrderStatusReason ,po.name Organiza ..."
4,"WITH cte AS (SELECT r.region_id AS regionid, r.region_name AS regionname, zr.zip5 FROM main.prod_ygl_apfm.zip_region AS zr JOIN main.prod_ygl_apfm.region AS r ON r.region_id = zr.region_id JOIN main.prod_ygl_apfm.region_use AS ru ON ru.region_id = zr.region_id AND ru.region_type_code = zr.region_type_code WHERE ru.region_type_code = ? AND r.region_name = ? AND r.active = ? AND zr._fivetran_deleted = FALSE AND r._fivetran_deleted = FALSE AND ru._fivetran_deleted = FALSE ORDER BY r.region_id, zr.zip5) SELECT CAST(hmcr.createdate AS DATE) AS requestcreatedate, hmcr.hmcrequestid, CASE WHEN hmcr.dj ...","select `RequestCreatedate`, `hmcrequestid`, `Referredby`, `referralid`, `ReturnStatus`, `ProviderOrders`, `ReferralDate`, `TimeFrame`, `DaystoActivation`, `Activation`, `ActivationDate`, `PilotGroup` from ( WITH CTE AS( SELECT r.region_id AS regionId, r.region_name AS regionName, zr.zip5 FROM main.p ..."
4,"SELECT p.accountid, p.amount, p.createdon, DATE_FORMAT(p.createdon, ?) AS paymentmonthyearid, p.paymentstatustypeid FROM main.prod_homecare_actransactional_billing.payment AS p WHERE p.paymentstatustypeid = ? AND p.createdon >= ?","select `AccountID`, `amount`, `createdon`, `PaymentMonthYearId`, `paymentstatustypeid` from ( Select p.AccountID ,p.amount ,p.createdon ,date_format(p.createdon, 'yyyyMM') PaymentMonthYearId ,p.paymentstatustypeid FROM main.prod_homecare_actransactional_billing.payment p WHERE p.paymentstatustypeid  ..."
4,"SELECT id, owner_id, name, stage_name, account_id, hmc_franchise_c, CAST(close_date AS DATE) AS closedate, CAST(created_date AS DATE) AS createddate FROM main.community_salesforce.opportunity WHERE created_date >= ?","select * from ( Select id ,owner_id ,Name ,stage_name ,account_id ,hmc_franchise_c ,date(close_date) CloseDate ,date(created_date) CreatedDate FROM main.community_salesforce.opportunity where created_date >= '2025' ) as `_` limit 0"
4,"WITH cte AS (SELECT DISTINCT COUNT(DISTINCT referralid) AS referrals, DATE_FORMAT(hmcr.createdate, ?) AS monthyearid, CASE WHEN p.providerorganizationid IS NULL THEN ? ELSE ? END AS org, dma.dma, TRIM(hmcr.postalcode) AS postalcode FROM prod_homecare_actransactional_homecare.referral AS ref LEFT JOIN main.prod_homecare_actransactional_organization.provider AS p ON p.providerid = ref.providerid LEFT JOIN main.prod_homecare_insite_directory.hmclead AS hmcl ON hmcl.hmcleadid = ref.hmcleadid LEFT JOIN main.prod_homecare_insite_directory.hmcrequest AS hmcr ON hmcr.hmcrequestid = hmcl.hmcrequestid L ...","select `Referrals`, `MonthYearID`, `Org`, `DMA`, `first3dayreferrals`, `last3dayreferrals`, `postalcode` from ( WITH CTE AS( Select DISTINCT count(distinct referralid) Referrals -- ,date(Referredon) ReferredOn ,date_format(hmcr.createdate, 'yyyyMM') MonthYearID ,CASE WHEN p.providerorganizationid is ..."
4,"WITH cte AS (SELECT cph.providerid, p.name AS providername, cph.orderid, o.createdon AS ordercreatedate, MIN(date) AS firstactivedate, MAX(date) AS lastactivedate, ost.name AS currentorderstatus, osrt.name AS currentorderstatusreasontype, u2.firstname AS hcam, u.firstname AS csm FROM prod_homecare_acreporting_reporting.cartproviderhistory AS cph LEFT JOIN prod_homecare_actransactional_ordermanagement.order AS o ON o.orderid = cph.orderid LEFT JOIN prod_homecare_actransactional_ordermanagement.orderstatustype AS ost ON ost.orderstatustypeid = o.orderstatustypeid LEFT JOIN prod_homecare_actransa ...","select `ProviderID`, `ProviderName`, `OrderID`, `OrderCreateDate`, `FirstActiveDate`, `LastActiveDate`, `CurrentOrderStatus`, `CurrentOrderStatusReasonType`, `HCAM`, `CSM`, `providerorders`, `DaystoCancel` from ( WITH CTE AS ( SELECT cph.ProviderID ,p.name ProviderName ,cph.OrderID ,o.createdon AS O ..."
4,"SELECT c.case_number AS casenumber, c.hmc_case_subject_c AS casesubject, c.account_id, a.id AS accountid, a.name AS accoutname, a.hmc_cart_provider_id_c AS providerid FROM main.community_salesforce.case AS c LEFT JOIN main.community_salesforce.account AS a ON a.id = c.account_id WHERE c.hmc_case_subject_c LIKE ? OR c.hmc_case_subject_c = ?","select `CaseNumber`, `CaseSubject`, `account_id`, `AccountID`, `AccoutName`, `ProviderID` from ( Select c.case_number CaseNumber ,c.hmc_case_subject_c CaseSubject ,c.account_id ,a.id AccountID ,a.name AccoutName ,a.hmc_cart_provider_id_c ProviderID FROM main.community_salesforce.case c LEFT JOIN mai ..."
4,"WITH cte AS (SELECT cph.providerid, cph.orderid, MIN(cph.date) AS firstactive, MAX(cph.date) AS lastactive FROM main.prod_homecare_acreporting_reporting.cartproviderhistory AS cph JOIN main.prod_homecare_actransactional_organization.provider AS p ON p.providerid = cph.providerid WHERE (cph.orderstatusreason = ? OR cph.orderstatus IN (?)) AND cph.contracttype = ? AND p.providerorganizationid IS NULL GROUP BY ?, ?), cte1 AS (SELECT cte.providerid, cte.orderid, cte.firstactive, cte.lastactive, DATEDIFF(DAY, cte.firstactive, cte.lastactive) AS daysactive, ost.name AS orderstatus, CASE WHEN o.prepa ...","select `ProviderID`, `OrderID`, `FirstActive`, `LastActive`, `DaysActive`, `OrderStatus`, `OrderReason`, `OrderType`, `Referrals90`, `LifetimeReferrals`, `FreeLeads`, `lastfreelead`, `FirstActivation`, `ProviderOrderID`, `HasActivation`, `datediff(lastfreelead, firstactive)`, `ProvOrderAge`, `Status ..."
4,"WITH cte AS (SELECT cph.providerid, cph.orderid, MAX(cph.date) AS lastactive, MIN(cph.date) AS firstactive FROM main.prod_homecare_acreporting_reporting.cartproviderhistory AS cph WHERE (cph.orderstatusreason = ? OR cph.orderstatus IN (?)) AND cph.contracttype = ? GROUP BY ?, ?), ctea AS (SELECT DISTINCT cph.providerid, cph.orderid, cph.orderstatus, cph.orderstatusreason FROM main.prod_homecare_acreporting_reporting.cartproviderhistory AS cph WHERE date = CAST(CURRENT_TIMESTAMP() AS DATE)), cteb1 AS (SELECT r.region_id AS regionid, r.region_name AS regionname, zr.zip5 FROM main.prod_ygl_apfm.z ...","select `ProviderID`, `OrderID`, `ProviderOrders`, `FirstActive`, `LastActive`, `ProviderName`, `Org`, `OrderStatus`, `OrderStatusReason`, `ProviderCoverage`, `DaysActive`, `Status` from ( WITH CTE AS( Select cph.providerid ,cph.orderid ,max(cph.date) LastActive ,min(cph.date) FirstActive FROM main.p ..."
4,"WITH cte AS (SELECT cph.providerid, p.name AS providername, cph.orderid, ost.name AS orderstatus, osrt.name AS orderstatusreason, MIN(cph.date) AS firstactive, MAX(cph.date) AS lastactive FROM main.prod_homecare_acreporting_reporting.cartproviderhistory AS cph LEFT JOIN main.prod_homecare_actransactional_organization.provider AS p ON p.providerid = cph.providerid LEFT JOIN main.prod_homecare_actransactional_ordermanagement.order AS o ON o.orderid = cph.orderid LEFT JOIN main.prod_homecare_actransactional_ordermanagement.orderstatusreasontype AS osrt ON osrt.orderstatusreasontypeid = o.ordersta ...","select `ProviderID`, `ProviderName`, `OrderID`, `FirstActive`, `LastActive`, `OrderStatus`, `OrderStatusReason`, `ProviderOrderID`, `Status`, `Org`, `DaysActive` from ( WITH CTE1 AS( WITH CTE AS( Select cph.providerid ,p.name ProviderName ,cph.orderid ,ost.name OrderStatus ,osrt.name OrderStatusReas ..."
4,"WITH cte AS (SELECT DISTINCT date, DATE_FORMAT(cph.date, ?) AS monthyear, monthlysent, monthlycap FROM main.prod_homecare_acreporting_reporting.cartproviderhistory AS cph WHERE cph.orderid = ? AND date >= ? AND (date = LAST_DAY(date) OR date = CAST(CURRENT_TIMESTAMP() AS DATE))), cte1 AS (SELECT DISTINCT cph.date, DATE_FORMAT(cph.date, ?) AS monthyear, CASE WHEN cte.date = LAST_DAY(cte.date) THEN cte.monthlysent ELSE cte.monthlycap END AS hicap FROM cte LEFT JOIN main.prod_homecare_acreporting_reporting.cartproviderhistory AS cph ON cte.monthyear = DATE_FORMAT(cph.date, ?) AND DAY(cph.date) =  ...","select `date`, `orderid`, `monthlycap`, `Adjust_MonthlyCap`, `Org`, `monthlysent` from ( WITH CTE1 AS( WITH CTE AS ( Select Distinct date ,date_format( cph.date, 'MMyyyy') MonthYear ,monthlysent ,monthlycap FROM main.prod_homecare_acreporting_reporting.cartproviderhistory cph WHERE cph.orderid = 277 ..."
4,SELECT DISTINCT usercode FROM main.prod_homecare_insite_dbo.users,select * from ( Select distinct usercode from main.prod_homecare_insite_dbo.users ) as `_` limit 0
4,"SELECT a.hmc_cart_provider_id_c AS providerid, a.id AS sf_accountid, u.name AS csm FROM main.community_salesforce.account AS a LEFT JOIN main.community_salesforce.user AS u ON u.id = a.hmc_csm_assignee_c WHERE NOT a.hmc_cart_provider_id_c IS NULL","select `ProviderID`, `SF_AccountID`, `CSM` from ( Select a.hmc_cart_provider_id_c ProviderID ,a.id SF_AccountID ,u.name CSM FROM main.community_salesforce.account a LEFT JOIN main.community_salesforce.user u on u.id = a.hmc_csm_assignee_c where a.hmc_cart_provider_id_c is not null ) as `_` limit 100 ..."
4,"WITH cte AS (SELECT DISTINCT ref.referralid, ref.providerid, ref.referredon, CONCAT(ref.orderid, ?, ref.providerid) AS providerorder, ref.orderid, op.createdon, DATEDIFF(DAY, o.createdon, CURRENT_TIMESTAMP()) AS orderage, DATEDIFF(DAY, o.createdon, ref.referredon) AS referralage, p.name AS providername, CASE WHEN p.providerorganizationid IS NULL THEN ? ELSE ? END AS org, CASE WHEN ref.returnapproved = TRUE THEN ? ELSE ? END AS returnapproved, CASE WHEN ref.billingtypeid = ? THEN ? WHEN hcc.accountid = ? AND log.deliverystatustypeid IN (?) AND hcc.createdon >= ? AND hcc.ishottransfer = ? THEN ? ...","select * from ( WITH CTE1 AS ( WITH CTE AS ( Select distinct ref.referralid ,ref.providerid ,ref.referredon ,concat(ref.orderid,""-"",ref.providerid ) ProviderOrder ,ref.orderid ,op.createdon ,datediff(getdate(),o.createdon) OrderAge ,datediff(ref.referredon,o.createdon) ReferralAge ,p.name ProviderNa ..."
